Machine;Line;Type;Total;Date
Machine_01;X01_line;Production;25282;19/06/16
Machine_01;X01_line;Stop;87605;19/06/16
Machine_01;X01_line;Stop;57128;20/06/16
Machine_01;X01_line;Production;29171;20/06/16
Machine_01;X01_line;Stop;73347;21/06/16
Machine_01;X01_line;Production;1151;21/06/16
Machine_01;X01_line;Production;54048;22/06/16
Machine_01;X01_line;Stop;17822;22/06/16
Machine_01;X01_line;Stop;34471;23/06/16
Machine_01;X01_line;Production;53706;23/06/16
Machine_01;X01_line;Production;62842;24/06/16
Machine_01;X01_line;Stop;21220;24/06/16
Machine_01;X01_line;Stop;17906;25/06/16
Machine_01;X01_line;Production;68473;25/06/16
Machine_01;X01_line;Production;68366;26/06/16
Machine_01;X01_line;Stop;18930;26/06/16
Machine_01;X01_line;Stop;15603;27/06/16
Machine_01;X01_line;Production;69922;27/06/16
Machine_01;X01_line;Stop;23917;28/06/16
Machine_01;X01_line;Production;64678;28/06/16
Machine_01;X01_line;Production;67091;29/06/16
Machine_01;X01_line;Stop;18257;29/06/16
Machine_01;X01_line;Stop;28334;30/06/16
Machine_01;X01_line;Production;56455;30/06/16
Machine_01;X01_line;Stop;29475;01/07/16
Machine_01;X01_line;Production;57273;01/07/16
Machine_01;X01_line;Stop;21068;02/07/16
Machine_01;X01_line;Production;65193;02/07/16
Machine_01;X01_line;Stop;36266;03/07/16
Machine_01;X01_line;Production;50072;03/07/16
Machine_01;X01_line;Stop;85041;04/07/16
Machine_01;X01_line;Production;28015;04/07/16
Machine_01;X01_line;Stop;86400;05/07/16
Machine_01;X01_line;Stop;86400;06/07/16
Machine_01;X01_line;Stop;58683;07/07/16
Machine_01;X01_line;Production;285;07/07/16
Machine_01;X01_line;Production;53578;08/07/16
Machine_01;X01_line;Stop;32997;08/07/16
Machine_01;X01_line;Production;60552;09/07/16
Machine_01;X01_line;Stop;25937;09/07/16
Machine_01;X01_line;Stop;25862;10/07/16
Machine_01;X01_line;Production;60748;10/07/16
Machine_01;X01_line;Stop;27313;11/07/16
Machine_01;X01_line;Production;58350;11/07/16
Machine_01;X01_line;Production;30290;12/07/16
Machine_01;X01_line;Stop;56168;12/07/16
Machine_01;X01_line;Production;34625;13/07/16
Machine_01;X01_line;Stop;51887;13/07/16
Machine_01;X01_line;Production;47945;14/07/16
Machine_01;X01_line;Stop;38568;14/07/16
Machine_01;X01_line;Stop;49769;15/07/16
Machine_01;X01_line;Production;36400;15/07/16
Machine_01;X01_line;Production;50892;16/07/16
Machine_01;X01_line;Stop;35126;16/07/16
Machine_01;X01_line;Stop;43937;17/07/16
Machine_01;X01_line;Production;42834;17/07/16
Machine_01;X01_line;Production;57399;18/07/16
Machine_01;X01_line;Stop;29440;18/07/16
Machine_01;X01_line;Stop;30350;19/07/16
Machine_01;X01_line;Production;55462;19/07/16
Machine_01;X01_line;Production;23115;20/07/16
Machine_01;X01_line;Stop;62145;20/07/16
Machine_01;X01_line;Production;57487;21/07/16
Machine_01;X01_line;Stop;28501;21/07/16
Machine_01;X01_line;Stop;18957;22/07/16
Machine_01;X01_line;Production;68518;22/07/16
Machine_01;X01_line;Stop;15232;23/07/16
Machine_01;X01_line;Production;70144;23/07/16
Machine_01;X01_line;Stop;21134;24/07/16
Machine_01;X01_line;Production;65365;24/07/16
Machine_01;X01_line;Production;63879;25/07/16
Machine_01;X01_line;Stop;22474;25/07/16
Machine_01;X01_line;Stop;35677;26/07/16
Machine_01;X01_line;Production;51089;26/07/16
Machine_01;X01_line;Stop;22226;27/07/16
Machine_01;X01_line;Production;64169;27/07/16
Machine_01;X01_line;Stop;18819;28/07/16
Machine_01;X01_line;Production;66848;28/07/16
Machine_01;X01_line;Stop;88892;29/07/16
Machine_01;X01_line;Production;23919;29/07/16
Machine_01;X01_line;Production;38051;30/07/16
Machine_01;X01_line;Stop;21901;30/07/16
Machine_01;X01_line;Production;58841;31/07/16
Machine_01;X01_line;Stop;28065;31/07/16
Machine_01;X01_line;Stop;26316;01/08/16
Machine_01;X01_line;Production;60092;01/08/16
Machine_01;X01_line;Stop;27262;02/08/16
Machine_01;X01_line;Production;58740;02/08/16
Machine_01;X01_line;Stop;25649;03/08/16
Machine_01;X01_line;Production;60729;03/08/16
Machine_01;X01_line;Production;56085;04/08/16
Machine_01;X01_line;Stop;30597;04/08/16
Machine_01;X01_line;Stop;31326;05/08/16
Machine_01;X01_line;Production;54538;05/08/16
Machine_01;X01_line;Stop;71741;06/08/16
Machine_01;X01_line;Production;14676;06/08/16
Machine_01;X01_line;Production;48482;07/08/16
Machine_01;X01_line;Stop;38504;07/08/16
Machine_01;X01_line;Production;46306;08/08/16
Machine_01;X01_line;Stop;39345;08/08/16
Machine_01;X01_line;Stop;26774;09/08/16
Machine_01;X01_line;Production;60072;09/08/16
Machine_01;X01_line;Production;57509;10/08/16
Machine_01;X01_line;Stop;28292;10/08/16
Machine_01;X01_line;Production;41725;11/08/16
Machine_01;X01_line;Stop;44674;11/08/16
Machine_01;X01_line;Production;27028;12/08/16
Machine_01;X01_line;Stop;59310;12/08/16
Machine_01;X01_line;Production;43699;13/08/16
Machine_01;X01_line;Stop;44550;13/08/16
Machine_01;X01_line;Production;56784;14/08/16
Machine_01;X01_line;Stop;29204;14/08/16
Machine_01;X01_line;Stop;41814;15/08/16
Machine_01;X01_line;Production;43184;15/08/16
Machine_01;X01_line;Stop;24402;16/08/16
Machine_01;X01_line;Production;62031;16/08/16
Machine_01;X01_line;Production;48636;17/08/16
Machine_01;X01_line;Stop;37906;17/08/16
Machine_01;X01_line;Stop;34625;18/08/16
Machine_01;X01_line;Production;51658;18/08/16
Machine_01;X01_line;Stop;35781;19/08/16
Machine_01;X01_line;Production;50704;19/08/16
Machine_01;X01_line;Stop;25712;20/08/16
Machine_01;X01_line;Production;60534;20/08/16
Machine_01;X01_line;Stop;20277;21/08/16
Machine_01;X01_line;Production;67794;21/08/16
Machine_01;X01_line;Stop;26600;22/08/16
Machine_01;X01_line;Production;60032;22/08/16
Machine_01;X01_line;Stop;16419;23/08/16
Machine_01;X01_line;Production;67946;23/08/16
Machine_01;X01_line;Production;65414;24/08/16
Machine_01;X01_line;Stop;21550;24/08/16
Machine_01;X01_line;Stop;19028;25/08/16
Machine_01;X01_line;Production;66898;25/08/16
Machine_01;X01_line;Stop;53815;26/08/16
Machine_01;X01_line;Production;33906;26/08/16
Machine_01;X01_line;Production;58086;27/08/16
Machine_01;X01_line;Stop;26385;27/08/16
Machine_01;X01_line;Production;65813;28/08/16
Machine_01;X01_line;Stop;21416;28/08/16
Machine_01;X01_line;Stop;56063;29/08/16
Machine_01;X01_line;Production;56423;29/08/16
Machine_01;X01_line;Stop;32067;30/08/16
Machine_01;X01_line;Stop;50665;31/08/16
Machine_01;X01_line;Production;2517;31/08/16
Machine_01;X01_line;Production;54071;01/09/16
Machine_01;X01_line;Stop;32021;01/09/16
Machine_01;X01_line;Stop;33007;02/09/16
Machine_01;X01_line;Production;53790;02/09/16
Machine_01;X01_line;Stop;30424;03/09/16
Machine_01;X01_line;Production;54904;03/09/16
Machine_01;X01_line;Production;48116;04/09/16
Machine_01;X01_line;Stop;38032;04/09/16
Machine_01;X01_line;Stop;29719;05/09/16
Machine_01;X01_line;Production;56755;05/09/16
Machine_01;X01_line;Stop;41887;06/09/16
Machine_01;X01_line;Production;45099;06/09/16
Machine_01;X01_line;Stop;32320;07/09/16
Machine_01;X01_line;Production;53533;07/09/16
Machine_01;X01_line;Production;54759;08/09/16
Machine_01;X01_line;Stop;32170;08/09/16
Machine_01;X01_line;Production;61703;09/09/16
Machine_01;X01_line;Stop;24098;09/09/16
Machine_01;X01_line;Stop;45274;10/09/16
Machine_01;X01_line;Production;40983;10/09/16
Machine_01;X01_line;Production;25645;11/09/16
Machine_01;X01_line;Stop;87696;11/09/16
Machine_01;X01_line;Stop;86400;12/09/16
Machine_01;X01_line;Stop;86400;13/09/16
Machine_01;X01_line;Stop;86400;14/09/16
Machine_01;X01_line;Stop;58014;15/09/16
Machine_01;X01_line;Production;1532;15/09/16
Machine_01;X01_line;Stop;42431;16/09/16
Machine_01;X01_line;Production;43737;16/09/16
Machine_01;X01_line;Stop;23689;17/09/16
Machine_01;X01_line;Production;62065;17/09/16
Machine_01;X01_line;Production;63705;18/09/16
Machine_01;X01_line;Stop;22839;18/09/16
Machine_01;X01_line;Production;67785;19/09/16
Machine_01;X01_line;Stop;19609;19/09/16
Machine_01;X01_line;Stop;24531;20/09/16
Machine_01;X01_line;Production;61709;20/09/16
Machine_01;X01_line;Stop;43017;21/09/16
Machine_01;X01_line;Production;41392;21/09/16
Machine_01;X01_line;Production;59279;22/09/16
Machine_01;X01_line;Stop;27062;22/09/16
Machine_01;X01_line;Stop;45152;23/09/16
Machine_01;X01_line;Production;43780;23/09/16
Machine_01;X01_line;Production;38431;24/09/16
Machine_01;X01_line;Stop;43729;24/09/16
Machine_01;X01_line;Production;46646;25/09/16
Machine_01;X01_line;Stop;40237;25/09/16
Machine_01;X01_line;Stop;23520;26/09/16
Machine_01;X01_line;Production;62495;26/09/16
Machine_01;X01_line;Stop;24465;27/09/16
Machine_01;X01_line;Production;63068;27/09/16
Machine_01;X01_line;Stop;19745;28/09/16
Machine_01;X01_line;Production;65908;28/09/16
Machine_01;X01_line;Production;2041;29/09/16
Machine_01;X01_line;Stop;89038;29/09/16
Machine_01;X01_line;Production;42621;30/09/16
Machine_01;X01_line;Stop;38433;30/09/16
Machine_01;X01_line;Stop;31874;01/10/16
Machine_01;X01_line;Production;54691;01/10/16
Machine_01;X01_line;Stop;26191;02/10/16
Machine_01;X01_line;Production;60175;02/10/16
Machine_01;X01_line;Stop;20056;03/10/16
Machine_01;X01_line;Production;66673;03/10/16
Machine_01;X01_line;Stop;17475;04/10/16
Machine_01;X01_line;Production;70040;04/10/16
Machine_01;X01_line;Stop;19123;05/10/16
Machine_01;X01_line;Production;65705;05/10/16
Machine_01;X01_line;Production;61864;06/10/16
Machine_01;X01_line;Stop;25750;06/10/16
Machine_01;X01_line;Stop;29200;07/10/16
Machine_01;X01_line;Production;56713;07/10/16
Machine_01;X01_line;Stop;27118;08/10/16
Machine_01;X01_line;Production;58535;08/10/16
Machine_01;X01_line;Stop;90678;09/10/16
Machine_01;X01_line;Production;14115;09/10/16
Machine_01;X01_line;Stop;93956;10/10/16
Machine_01;X01_line;Stop;69791;11/10/16
Machine_01;X01_line;Production;690;11/10/16
Machine_01;X01_line;Stop;61526;12/10/16
Machine_01;X01_line;Production;8638;12/10/16
Machine_01;X01_line;Production;47162;13/10/16
Machine_01;X01_line;Stop;39500;13/10/16
Machine_01;X01_line;Stop;25016;14/10/16
Machine_01;X01_line;Production;61282;14/10/16
Machine_01;X01_line;Stop;24205;15/10/16
Machine_01;X01_line;Production;62158;15/10/16
Machine_01;X01_line;Stop;26463;16/10/16
Machine_01;X01_line;Production;59944;16/10/16
Machine_01;X01_line;Stop;33764;17/10/16
Machine_01;X01_line;Production;52271;17/10/16
Machine_01;X01_line;Production;54340;18/10/16
Machine_01;X01_line;Stop;32189;18/10/16
Machine_01;X01_line;Stop;53663;19/10/16
Machine_01;X01_line;Production;33132;19/10/16
Machine_01;X01_line;Stop;32855;20/10/16
Machine_01;X01_line;Production;53327;20/10/16
Machine_01;X01_line;Stop;29422;21/10/16
Machine_01;X01_line;Production;56779;21/10/16
Machine_01;X01_line;Stop;22706;22/10/16
Machine_01;X01_line;Production;63795;22/10/16
Machine_01;X01_line;Production;57174;23/10/16
Machine_01;X01_line;Stop;29354;23/10/16
Machine_01;X01_line;Production;17719;24/10/16
Machine_01;X01_line;Stop;8921;24/10/16
Machine_02;X01_line;Stop;2762;03/05/16
Machine_02;X01_line;Production;13096;03/05/16
Machine_02;X01_line;Wait;14809;03/05/16
Machine_02;X01_line;Production;45989;04/05/16
Machine_02;X01_line;Wait;11687;04/05/16
Machine_02;X01_line;Stop;6834;04/05/16
Machine_02;X01_line;Stop;16098;05/05/16
Machine_02;X01_line;Production;60551;05/05/16
Machine_02;X01_line;Wait;9482;05/05/16
Machine_02;X01_line;Production;66512;06/05/16
Machine_02;X01_line;Wait;10736;06/05/16
Machine_02;X01_line;Stop;9481;06/05/16
Machine_02;X01_line;Wait;19333;07/05/16
Machine_02;X01_line;Stop;13695;07/05/16
Machine_02;X01_line;Production;40978;07/05/16
Machine_02;X01_line;Production;23684;08/05/16
Machine_02;X01_line;Stop;18039;08/05/16
Machine_02;X01_line;Wait;41877;08/05/16
Machine_02;X01_line;Wait;17450;09/05/16
Machine_02;X01_line;Stop;9546;09/05/16
Machine_02;X01_line;Production;59402;09/05/16
Machine_02;X01_line;Stop;8804;10/05/16
Machine_02;X01_line;Wait;8097;10/05/16
Machine_02;X01_line;Production;71236;10/05/16
Machine_02;X01_line;Stop;15188;11/05/16
Machine_02;X01_line;Production;43575;11/05/16
Machine_02;X01_line;Wait;26138;11/05/16
Machine_02;X01_line;Wait;11265;12/05/16
Machine_02;X01_line;Production;60022;12/05/16
Machine_02;X01_line;Stop;13114;12/05/16
Machine_02;X01_line;Stop;18472;13/05/16
Machine_02;X01_line;Production;29080;13/05/16
Machine_02;X01_line;Wait;13719;13/05/16
Machine_02;X01_line;Wait;24108;14/05/16
Machine_02;X01_line;Production;49355;14/05/16
Machine_02;X01_line;Stop;12892;14/05/16
Machine_02;X01_line;Wait;18194;15/05/16
Machine_02;X01_line;Production;60801;15/05/16
Machine_02;X01_line;Stop;8061;15/05/16
Machine_02;X01_line;Wait;4833;16/05/16
Machine_02;X01_line;Production;16103;16/05/16
Machine_02;X01_line;Stop;63096;16/05/16
Machine_02;X01_line;Production;42203;17/05/16
Machine_02;X01_line;Wait;6823;17/05/16
Machine_02;X01_line;Stop;30250;17/05/16
Machine_02;X01_line;Wait;18312;18/05/16
Machine_02;X01_line;Production;58248;18/05/16
Machine_02;X01_line;Stop;71802;18/05/16
Machine_02;X01_line;Wait;9193;19/05/16
Machine_02;X01_line;Stop;5951;19/05/16
Machine_02;X01_line;Production;9574;19/05/16
Machine_02;X01_line;Production;49724;20/05/16
Machine_02;X01_line;Wait;25676;20/05/16
Machine_02;X01_line;Stop;11212;20/05/16
Machine_02;X01_line;Production;59050;21/05/16
Machine_02;X01_line;Wait;18773;21/05/16
Machine_02;X01_line;Stop;8822;21/05/16
Machine_02;X01_line;Wait;13548;22/05/16
Machine_02;X01_line;Production;60131;22/05/16
Machine_02;X01_line;Stop;9634;22/05/16
Machine_02;X01_line;Wait;12080;23/05/16
Machine_02;X01_line;Production;64720;23/05/16
Machine_02;X01_line;Stop;9024;23/05/16
Machine_02;X01_line;Wait;10747;24/05/16
Machine_02;X01_line;Production;46567;24/05/16
Machine_02;X01_line;Stop;8571;24/05/16
Machine_02;X01_line;Wait;13952;25/05/16
Machine_02;X01_line;Production;61732;25/05/16
Machine_02;X01_line;Stop;10572;25/05/16
Machine_02;X01_line;Wait;7185;26/05/16
Machine_02;X01_line;Production;44880;26/05/16
Machine_02;X01_line;Stop;21276;26/05/16
Machine_02;X01_line;Stop;13508;27/05/16
Machine_02;X01_line;Production;60933;27/05/16
Machine_02;X01_line;Wait;10912;27/05/16
Machine_02;X01_line;Production;66984;28/05/16
Machine_02;X01_line;Stop;9070;28/05/16
Machine_02;X01_line;Wait;10597;28/05/16
Machine_02;X01_line;Wait;8396;29/05/16
Machine_02;X01_line;Production;67223;29/05/16
Machine_02;X01_line;Stop;11381;29/05/16
Machine_02;X01_line;Wait;4524;30/05/16
Machine_02;X01_line;Production;47479;30/05/16
Machine_02;X01_line;Stop;16967;30/05/16
Machine_02;X01_line;Stop;6280;31/05/16
Machine_02;X01_line;Wait;8187;31/05/16
Machine_02;X01_line;Production;71757;31/05/16
Machine_02;X01_line;Wait;12850;01/06/16
Machine_02;X01_line;Production;29903;01/06/16
Machine_02;X01_line;Stop;41359;01/06/16
Machine_02;X01_line;Stop;4869;02/06/16
Machine_02;X01_line;Production;49040;02/06/16
Machine_02;X01_line;Wait;15518;02/06/16
Machine_02;X01_line;Wait;14473;03/06/16
Machine_02;X01_line;Stop;122621;03/06/16
Machine_02;X01_line;Production;45781;03/06/16
Machine_02;X01_line;Wait;20835;05/06/16
Machine_02;X01_line;Production;35134;05/06/16
Machine_02;X01_line;Stop;11147;05/06/16
Machine_02;X01_line;Production;38220;06/06/16
Machine_02;X01_line;Wait;23175;06/06/16
Machine_02;X01_line;Stop;24586;06/06/16
Machine_02;X01_line;Production;52149;07/06/16
Machine_02;X01_line;Wait;24238;07/06/16
Machine_02;X01_line;Stop;10933;07/06/16
Machine_02;X01_line;Production;56620;08/06/16
Machine_02;X01_line;Wait;21157;08/06/16
Machine_02;X01_line;Stop;7796;08/06/16
Machine_02;X01_line;Wait;7554;09/06/16
Machine_02;X01_line;Production;21227;09/06/16
Machine_02;X01_line;Stop;111953;09/06/16
Machine_02;X01_line;Wait;21910;10/06/16
Machine_02;X01_line;Stop;9767;10/06/16
Machine_02;X01_line;Production;274;10/06/16
Machine_02;X01_line;Wait;53395;11/06/16
Machine_02;X01_line;Production;11807;11/06/16
Machine_02;X01_line;Stop;24235;11/06/16
Machine_02;X01_line;Wait;33023;12/06/16
Machine_02;X01_line;Production;35780;12/06/16
Machine_02;X01_line;Stop;11933;12/06/16
Machine_02;X01_line;Wait;21426;13/06/16
Machine_02;X01_line;Production;55221;13/06/16
Machine_02;X01_line;Stop;9712;13/06/16
Machine_02;X01_line;Production;55544;14/06/16
Machine_02;X01_line;Wait;22172;14/06/16
Machine_02;X01_line;Stop;8649;14/06/16
Machine_02;X01_line;Wait;14791;15/06/16
Machine_02;X01_line;Production;52982;15/06/16
Machine_02;X01_line;Stop;36010;15/06/16
Machine_02;X01_line;Wait;5889;16/06/16
Machine_02;X01_line;Stop;104088;16/06/16
Machine_02;X01_line;Production;5537;16/06/16
Machine_02;X01_line;Wait;11722;17/06/16
Machine_02;X01_line;Stop;11469;17/06/16
Machine_02;X01_line;Production;5660;17/06/16
Machine_02;X01_line;Wait;23546;18/06/16
Machine_02;X01_line;Production;45935;18/06/16
Machine_02;X01_line;Stop;15328;18/06/16
Machine_02;X01_line;Production;25604;19/06/16
Machine_02;X01_line;Stop;71061;19/06/16
Machine_02;X01_line;Wait;7685;19/06/16
Machine_02;X01_line;Wait;9650;20/06/16
Machine_02;X01_line;Stop;100415;20/06/16
Machine_02;X01_line;Production;31621;20/06/16
Machine_02;X01_line;Wait;2063;21/06/16
Machine_02;X01_line;Production;1375;21/06/16
Machine_02;X01_line;Stop;19010;21/06/16
Machine_02;X01_line;Wait;8951;22/06/16
Machine_02;X01_line;Production;54247;22/06/16
Machine_02;X01_line;Stop;12063;22/06/16
Machine_02;X01_line;Production;54958;23/06/16
Machine_02;X01_line;Wait;10728;23/06/16
Machine_02;X01_line;Stop;21333;23/06/16
Machine_02;X01_line;Wait;8332;24/06/16
Machine_02;X01_line;Stop;14532;24/06/16
Machine_02;X01_line;Production;63111;24/06/16
Machine_02;X01_line;Wait;12442;25/06/16
Machine_02;X01_line;Production;67053;25/06/16
Machine_02;X01_line;Stop;7137;25/06/16
Machine_02;X01_line;Production;66259;26/06/16
Machine_02;X01_line;Stop;11105;26/06/16
Machine_02;X01_line;Wait;9257;26/06/16
Machine_02;X01_line;Stop;7030;27/06/16
Machine_02;X01_line;Production;68464;27/06/16
Machine_02;X01_line;Wait;9973;27/06/16
Machine_02;X01_line;Wait;10521;28/06/16
Machine_02;X01_line;Production;63305;28/06/16
Machine_02;X01_line;Stop;13434;28/06/16
Machine_02;X01_line;Production;65406;29/06/16
Machine_02;X01_line;Stop;10535;29/06/16
Machine_02;X01_line;Wait;10786;29/06/16
Machine_02;X01_line;Stop;20612;30/06/16
Machine_02;X01_line;Production;56036;30/06/16
Machine_02;X01_line;Wait;8622;30/06/16
Machine_02;X01_line;Wait;11278;01/07/16
Machine_02;X01_line;Production;46975;01/07/16
Machine_02;X01_line;Stop;12330;01/07/16
Machine_02;X01_line;Wait;13226;02/07/16
Machine_02;X01_line;Production;64444;02/07/16
Machine_02;X01_line;Stop;7865;02/07/16
Machine_02;X01_line;Production;50011;03/07/16
Machine_02;X01_line;Wait;9657;03/07/16
Machine_02;X01_line;Stop;26712;03/07/16
Machine_02;X01_line;Stop;310998;04/07/16
Machine_02;X01_line;Production;28679;04/07/16
Machine_02;X01_line;Wait;6201;04/07/16
Machine_02;X01_line;Wait;19291;08/07/16
Machine_02;X01_line;Stop;14399;08/07/16
Machine_02;X01_line;Production;52587;08/07/16
Machine_02;X01_line;Wait;19304;09/07/16
Machine_02;X01_line;Production;60831;09/07/16
Machine_02;X01_line;Stop;6597;09/07/16
Machine_02;X01_line;Wait;20235;10/07/16
Machine_02;X01_line;Production;59415;10/07/16
Machine_02;X01_line;Stop;6831;10/07/16
Machine_02;X01_line;Wait;22387;11/07/16
Machine_02;X01_line;Production;56832;11/07/16
Machine_02;X01_line;Stop;6739;11/07/16
Machine_02;X01_line;Stop;41311;12/07/16
Machine_02;X01_line;Production;31078;12/07/16
Machine_02;X01_line;Wait;13840;12/07/16
Machine_02;X01_line;Wait;30335;13/07/16
Machine_02;X01_line;Production;35800;13/07/16
Machine_02;X01_line;Stop;20212;13/07/16
Machine_02;X01_line;Production;49893;14/07/16
Machine_02;X01_line;Stop;8620;14/07/16
Machine_02;X01_line;Wait;28085;14/07/16
Machine_02;X01_line;Production;37528;15/07/16
Machine_02;X01_line;Wait;16191;15/07/16
Machine_02;X01_line;Stop;32430;15/07/16
Machine_02;X01_line;Wait;18293;16/07/16
Machine_02;X01_line;Production;52117;16/07/16
Machine_02;X01_line;Stop;17385;16/07/16
Machine_02;X01_line;Wait;33323;17/07/16
Machine_02;X01_line;Stop;8436;17/07/16
Machine_02;X01_line;Production;43399;17/07/16
Machine_02;X01_line;Stop;5531;18/07/16
Machine_02;X01_line;Production;55862;18/07/16
Machine_02;X01_line;Wait;23045;18/07/16
Machine_02;X01_line;Wait;16776;19/07/16
Machine_02;X01_line;Production;41701;19/07/16
Machine_02;X01_line;Stop;7617;19/07/16
Machine_02;X01_line;Wait;24787;20/07/16
Machine_02;X01_line;Production;23415;20/07/16
Machine_02;X01_line;Stop;37898;20/07/16
Machine_02;X01_line;Production;57541;21/07/16
Machine_02;X01_line;Wait;16979;21/07/16
Machine_02;X01_line;Stop;11850;21/07/16
Machine_02;X01_line;Wait;14573;22/07/16
Machine_02;X01_line;Production;66770;22/07/16
Machine_02;X01_line;Stop;5652;22/07/16
Machine_02;X01_line;Wait;9401;23/07/16
Machine_02;X01_line;Production;70767;23/07/16
Machine_02;X01_line;Stop;5562;23/07/16
Machine_02;X01_line;Production;66226;24/07/16
Machine_02;X01_line;Wait;13292;24/07/16
Machine_02;X01_line;Stop;7183;24/07/16
Machine_02;X01_line;Stop;10217;25/07/16
Machine_02;X01_line;Production;63134;25/07/16
Machine_02;X01_line;Wait;12692;25/07/16
Machine_02;X01_line;Wait;17398;26/07/16
Machine_02;X01_line;Production;50828;26/07/16
Machine_02;X01_line;Stop;18744;26/07/16
Machine_02;X01_line;Wait;15668;27/07/16
Machine_02;X01_line;Production;61544;27/07/16
Machine_02;X01_line;Stop;8841;27/07/16
Machine_02;X01_line;Wait;14874;28/07/16
Machine_02;X01_line;Production;66611;28/07/16
Machine_02;X01_line;Stop;5344;28/07/16
Machine_02;X01_line;Wait;10972;29/07/16
Machine_02;X01_line;Production;23318;29/07/16
Machine_02;X01_line;Stop;75002;29/07/16
Machine_02;X01_line;Wait;19897;30/07/16
Machine_02;X01_line;Production;38582;30/07/16
Machine_02;X01_line;Stop;4409;30/07/16
Machine_02;X01_line;Wait;21811;31/07/16
Machine_02;X01_line;Production;58518;31/07/16
Machine_02;X01_line;Stop;6328;31/07/16
Machine_02;X01_line;Wait;19668;01/08/16
Machine_02;X01_line;Production;60122;01/08/16
Machine_02;X01_line;Stop;6634;01/08/16
Machine_02;X01_line;Wait;19416;02/08/16
Machine_02;X01_line;Production;59490;02/08/16
Machine_02;X01_line;Stop;7068;02/08/16
Machine_02;X01_line;Wait;13509;03/08/16
Machine_02;X01_line;Production;61490;03/08/16
Machine_02;X01_line;Stop;11386;03/08/16
Machine_02;X01_line;Wait;19602;04/08/16
Machine_02;X01_line;Production;56245;04/08/16
Machine_02;X01_line;Stop;10863;04/08/16
Machine_02;X01_line;Wait;20040;05/08/16
