glossary;path;typology;True_start
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:05
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:05
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:05
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:05
MACHINE WAITING FOR PRODUCTS;xx.mch.wait_production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:05
MACHINE WAIT FOR PRODUCT FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_wait_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:05
DOWNSTREAM INTERLOCK;xx_main_interface_downstream.interlock_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:05
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:06
MACHINE WAITING FOR PRODUCTS;xx_main_motorization_manager._motman.production_wait_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:06
MACHINE IN PRODUCTION;xx.mch.production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:06
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:06
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:06
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:06
MACHINE WAITING FOR PRODUCTS;xx.mch.wait_production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:06
MACHINE WAIT FOR PRODUCT FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_wait_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:06
DOWNSTREAM INTERLOCK;xx_main_interface_downstream.interlock_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:06
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:07
MACHINE WAITING FOR PRODUCTS;xx_main_motorization_manager._motman.production_wait_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:08
MACHINE IN PRODUCTION;xx.mch.production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:08
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:08
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:08
UPSTREAM INTERLOCK;xx_main_interface_upstream.interlock_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:08
MACHINE WAITING FOR PRODUCTS;xx.mch.wait_production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:08
MACHINE WAIT FOR PRODUCT FROM UPSTREAM;xx_main_motorization_manager._motman.production_wait_external_up_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:08
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:08
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:08
MACHINE WAITING FOR PRODUCTS;xx.mch.wait_production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:08
MACHINE IN PRODUCTION;xx.mch.production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:08
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:08
MACHINE WAITING FOR PRODUCTS;xx_main_motorization_manager._motman.production_wait_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:09
MACHINE IN PRODUCTION;xx.mch.production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:09
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:09
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:09
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:09
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:09
MACHINE WAITING FOR PRODUCTS;xx.mch.wait_production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:09
MACHINE WAIT FOR PRODUCT FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_wait_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:09
DOWNSTREAM INTERLOCK;xx_main_interface_downstream.interlock_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:09
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:09
MACHINE IN PRODUCTION;xx.mch.production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:10
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:10
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:10
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:10
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:10
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:10
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:10
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:13
MACHINE WAITING FOR PRODUCTS;xx.mch.wait_production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:13
MACHINE WAIT FOR PRODUCT FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_wait_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:13
DOWNSTREAM INTERLOCK;xx_main_interface_downstream.interlock_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:13
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:13
MACHINE IN PRODUCTION;xx.mch.production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:13
MACHINE WAITING FOR PRODUCTS;xx.mch.wait_production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:13
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:13
MACHINE IN PRODUCTION;xx.mch.production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:13
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:13
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:13
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:13
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:13
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:13
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:13
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:14
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:14
 6: STOPPED;xx_hopper_pusher_6.pusher_stop_osm;MESSAGE_TYPOLOGY_OBLIGATION;10/01/2016 00:14
  EMPTY;xx_hopper_checkcard_handler.hopper_pusher_6_empty_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:14
MACHINE WAITING FOR PRODUCTS;xx.mch.wait_production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:14
DOWNSTREAM INTERLOCK;xx_main_interface_downstream.interlock_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:14
 CURTAIN OPEN;xx_main_safety_guards_hopperopticalbarrier.sio.protection_asm.message;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:14
MACHINE WAIT FOR PRODUCT FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_wait_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:14
 GATE OPEN;xx_hopper_checkcard_handler.gate_6_open_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:14
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:14
MACHINE WAITING FOR PRODUCTS;xx_main_motorization_manager._motman.production_wait_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:14
MACHINE IN PRODUCTION;xx.mch.production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:14
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:14
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:14
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:14
MACHINE WAITING FOR PRODUCTS;xx.mch.wait_production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:14
MACHINE WAIT FOR PRODUCT FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_wait_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:14
DOWNSTREAM INTERLOCK;xx_main_interface_downstream.interlock_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:14
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:15
MACHINE WAITING FOR PRODUCTS;xx_main_motorization_manager._motman.production_wait_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:15
MACHINE IN PRODUCTION;xx.mch.production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:15
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:15
 3: STOPPED;xx_hopper_pusher_3.pusher_stop_osm;MESSAGE_TYPOLOGY_OBLIGATION;10/01/2016 00:15
  JAM;xx_hopper_pusher_3.sensor_jam_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:15
 CURTAIN OPEN;xx_main_safety_guards_hopperopticalbarrier.sio.protection_asm.message;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:15
 GATE OPEN;xx_hopper_checkcard_handler.gate_3_open_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:15
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:15
 GATE OPEN;xx_hopper_checkcard_handler.gate_3_open_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:15
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:15
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:15
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:16
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:16
MACHINE WAITING FOR PRODUCTS;xx.mch.wait_production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:16
MACHINE WAIT FOR PRODUCT FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_wait_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:16
DOWNSTREAM INTERLOCK;xx_main_interface_downstream.interlock_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:16
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:16
MACHINE IN PRODUCTION;xx.mch.production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:16
MACHINE WAITING FOR PRODUCTS;xx.mch.wait_production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:16
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:16
MACHINE WAITING FOR PRODUCTS;xx_main_motorization_manager._motman.production_wait_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:16
MACHINE IN PRODUCTION;xx.mch.production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:16
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:16
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:16
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:17
MACHINE WAITING FOR PRODUCTS;xx.mch.wait_production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:17
MACHINE WAIT FOR PRODUCT FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_wait_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:17
DOWNSTREAM INTERLOCK;xx_main_interface_downstream.interlock_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:17
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:17
MACHINE IN PRODUCTION;xx.mch.production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:17
MACHINE WAITING FOR PRODUCTS;xx.mch.wait_production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:17
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:17
MACHINE WAITING FOR PRODUCTS;xx_main_motorization_manager._motman.production_wait_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:31
MACHINE IN PRODUCTION;xx.mch.production_log_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:31
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:31
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:31
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:31
TOO MANY REJECTS;xx_inspection_lds.consecutive_equipment_reject_nsm[6];MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:31
 6: STOPPED;xx_hopper_pusher_6.pusher_stop_osm;MESSAGE_TYPOLOGY_OBLIGATION;10/01/2016 00:31
 GATE OPEN;xx_hopper_checkcard_handler.gate_6_open_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:31
 CURTAIN OPEN;xx_main_safety_guards_hopperopticalbarrier.sio.protection_asm.message;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:31
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:31
 6: STOPPED;xx_hopper_pusher_6.pusher_stop_osm;MESSAGE_TYPOLOGY_OBLIGATION;10/01/2016 00:36
  JAM;xx_hopper_pusher_6.sensor_jam_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:36
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:36
 CURTAIN OPEN;xx_main_safety_guards_hopperopticalbarrier.sio.protection_asm.message;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:36
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:36
 SPLICER GUARD OPEN;xx_main_safety_guards_alufoilsplicer.sio.protection_asm.message;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:40
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:42
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:42
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:43
 6: STOPPED;xx_hopper_pusher_6.pusher_stop_osm;MESSAGE_TYPOLOGY_OBLIGATION;10/01/2016 00:43
  JAM;xx_hopper_pusher_6.sensor_jam_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:43
 CURTAIN OPEN;xx_main_safety_guards_hopperopticalbarrier.sio.protection_asm.message;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:44
 GATE OPEN;xx_hopper_checkcard_handler.gate_6_open_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:44
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:44
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:44
 6: STOPPED;xx_hopper_pusher_6.pusher_stop_osm;MESSAGE_TYPOLOGY_OBLIGATION;10/01/2016 00:44
  JAM;xx_hopper_pusher_6.sensor_jam_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:44
 GATE OPEN;xx_hopper_checkcard_handler.gate_6_open_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:44
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:44
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:44
 6: STOPPED;xx_hopper_pusher_6.pusher_stop_osm;MESSAGE_TYPOLOGY_OBLIGATION;10/01/2016 00:44
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:44
 6: STOPPED;xx_hopper_pusher_6.pusher_stop_osm;MESSAGE_TYPOLOGY_OBLIGATION;10/01/2016 00:44
  JAM;xx_hopper_pusher_6.sensor_jam_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:44
TOO MANY REJECTS;xx_inspection_lds.consecutive_equipment_reject_nsm[6];MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:44
LOW PRODUCTION SPEED;xx_main_motorization_manager._motman.production_at_low_speed_internal_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:44
 GATE OPEN;xx_hopper_checkcard_handler.gate_6_open_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:44
 6: STOPPED;xx_hopper_pusher_6.pusher_stop_osm;MESSAGE_TYPOLOGY_OBLIGATION;10/01/2016 00:44
  JAM;xx_hopper_pusher_6.sensor_jam_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:44
NOMINAL SPEED;xx_main_motorization_manager._motman.production_at_nominal_speed_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:44
 GATE OPEN;xx_hopper_checkcard_handler.gate_6_open_nsm;MESSAGE_TYPOLOGY_NORMAL;10/01/2016 00:44
LOW PRODUCTION SPEED FROM DOWNSTREAM;xx_main_motorization_manager._motman.production_at_low_speed_external_down_lsm.message;MESSAGE_TYPOLOGY_LOGGER;10/01/2016 00:45
