Machine;Model_ID;Model_Name;Score;Execution_Date
Machine_02;Machine_02_Fault_04;HEAT PUMP;0%;09-23-2016 00:50:39
Machine_02;Machine_02_Fault_05;VACUUM;91%;09-23-2016 01:06:14
Machine_01;Machine_01_Fault_01;ENGINE BREAK;2%;09-23-2016 01:06:48
Machine_01;Machine_01_Fault_02;JAM;86%;09-23-2016 01:20:08
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;6%;09-23-2016 01:23:19
Machine_02;Machine_02_Fault_03;ROTOR BREAK;85%;09-23-2016 01:22:06
Machine_02;Machine_02_Fault_04;HEAT PUMP;96%;09-23-2016 01:23:06
Machine_02;Machine_02_Fault_05;VACUUM;87%;09-23-2016 01:21:01
Machine_01;Machine_01_Fault_01;ENGINE BREAK;60%;09-23-2016 01:21:48
Machine_01;Machine_01_Fault_02;JAM;22%;09-23-2016 01:24:23
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;50%;09-23-2016 01:35:13
Machine_02;Machine_02_Fault_03;ROTOR BREAK;23%;09-23-2016 01:36:19
Machine_02;Machine_02_Fault_04;HEAT PUMP;14%;09-23-2016 01:36:42
Machine_02;Machine_02_Fault_05;VACUUM;34%;09-23-2016 01:37:09
Machine_01;Machine_01_Fault_01;ENGINE BREAK;88%;09-23-2016 01:37:55
Machine_01;Machine_01_Fault_02;JAM;94%;09-23-2016 01:38:18
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;6%;09-23-2016 01:39:42
Machine_02;Machine_02_Fault_03;ROTOR BREAK;17%;09-23-2016 01:41:02
Machine_02;Machine_02_Fault_04;HEAT PUMP;30%;09-23-2016 01:42:02
Machine_02;Machine_02_Fault_05;VACUUM;72%;09-23-2016 01:42:41
Machine_01;Machine_01_Fault_01;ENGINE BREAK;25%;09-23-2016 01:43:57
Machine_01;Machine_01_Fault_02;JAM;3%;09-23-2016 01:44:37
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;63%;09-23-2016 01:45:08
Machine_02;Machine_02_Fault_03;ROTOR BREAK;17%;09-23-2016 01:46:16
Machine_02;Machine_02_Fault_04;HEAT PUMP;14%;09-23-2016 01:25:16
Machine_02;Machine_02_Fault_05;VACUUM;56%;09-23-2016 01:26:07
Machine_01;Machine_01_Fault_01;ENGINE BREAK;88%;09-23-2016 01:27:52
Machine_01;Machine_01_Fault_02;JAM;40%;09-23-2016 01:28:47
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;69%;09-23-2016 01:29:37
Machine_02;Machine_02_Fault_03;ROTOR BREAK;70%;09-23-2016 01:30:58
Machine_02;Machine_02_Fault_04;HEAT PUMP;71%;09-23-2016 01:31:57
Machine_02;Machine_02_Fault_05;VACUUM;100%;09-23-2016 01:32:21
Machine_01;Machine_01_Fault_01;ENGINE BREAK;63%;09-23-2016 01:32:41
Machine_01;Machine_01_Fault_02;JAM;26%;09-23-2016 01:33:35
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;10%;09-23-2016 01:34:33
Machine_02;Machine_02_Fault_03;ROTOR BREAK;90%;09-23-2016 01:53:30
Machine_02;Machine_02_Fault_04;HEAT PUMP;73%;09-23-2016 01:55:22
Machine_02;Machine_02_Fault_05;VACUUM;18%;09-23-2016 01:55:18
Machine_01;Machine_01_Fault_01;ENGINE BREAK;47%;09-23-2016 01:58:41
Machine_01;Machine_01_Fault_02;JAM;58%;09-23-2016 01:57:54
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;58%;09-23-2016 02:04:13
Machine_02;Machine_02_Fault_03;ROTOR BREAK;51%;09-23-2016 02:03:10
Machine_02;Machine_02_Fault_04;HEAT PUMP;9%;09-23-2016 02:02:41
Machine_02;Machine_02_Fault_05;VACUUM;97%;09-23-2016 02:02:19
Machine_01;Machine_01_Fault_01;ENGINE BREAK;57%;09-23-2016 02:07:26
Machine_01;Machine_01_Fault_02;JAM;20%;09-23-2016 02:09:32
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;90%;09-23-2016 02:11:05
Machine_02;Machine_02_Fault_03;ROTOR BREAK;87%;09-23-2016 02:11:47
Machine_02;Machine_02_Fault_04;HEAT PUMP;58%;09-23-2016 02:05:39
Machine_02;Machine_02_Fault_05;VACUUM;21%;09-23-2016 00:05:00
Machine_01;Machine_01_Fault_01;ENGINE BREAK;17%;09-23-2016 00:05:29
Machine_01;Machine_01_Fault_02;JAM;9%;09-23-2016 00:05:08
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;22%;09-23-2016 00:06:03
Machine_02;Machine_02_Fault_03;ROTOR BREAK;4%;09-23-2016 00:06:36
Machine_02;Machine_02_Fault_04;HEAT PUMP;91%;09-23-2016 00:07:00
Machine_02;Machine_02_Fault_05;VACUUM;91%;09-23-2016 00:08:29
Machine_01;Machine_01_Fault_01;ENGINE BREAK;21%;09-23-2016 00:14:34
Machine_01;Machine_01_Fault_02;JAM;58%;09-23-2016 00:11:21
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;81%;09-23-2016 00:09:48
Machine_02;Machine_02_Fault_03;ROTOR BREAK;92%;09-23-2016 00:15:29
Machine_02;Machine_02_Fault_04;HEAT PUMP;93%;09-23-2016 00:18:46
Machine_02;Machine_02_Fault_05;VACUUM;46%;09-23-2016 00:18:27
Machine_01;Machine_01_Fault_01;ENGINE BREAK;32%;09-23-2016 00:49:35
Machine_01;Machine_01_Fault_02;JAM;44%;09-23-2016 00:25:17
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;52%;09-23-2016 00:25:37
Machine_02;Machine_02_Fault_03;ROTOR BREAK;41%;09-23-2016 00:26:31
Machine_02;Machine_02_Fault_04;HEAT PUMP;3%;09-23-2016 00:27:55
Machine_02;Machine_02_Fault_05;VACUUM;80%;09-23-2016 00:28:21
Machine_01;Machine_01_Fault_01;ENGINE BREAK;61%;09-23-2016 00:29:36
Machine_01;Machine_01_Fault_02;JAM;66%;09-23-2016 00:31:30
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;16%;09-23-2016 00:32:13
Machine_02;Machine_02_Fault_03;ROTOR BREAK;99%;09-23-2016 00:33:42
Machine_02;Machine_02_Fault_04;HEAT PUMP;5%;09-23-2016 00:35:04
Machine_02;Machine_02_Fault_05;VACUUM;6%;09-23-2016 00:37:02
Machine_01;Machine_01_Fault_01;ENGINE BREAK;25%;09-23-2016 00:41:49
Machine_01;Machine_01_Fault_02;JAM;84%;09-23-2016 00:40:29
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;41%;09-23-2016 00:44:46
Machine_02;Machine_02_Fault_03;ROTOR BREAK;16%;09-23-2016 00:46:10
Machine_02;Machine_02_Fault_04;HEAT PUMP;81%;09-23-2016 00:49:14
Machine_02;Machine_02_Fault_05;VACUUM;11%;09-23-2016 00:48:59
Machine_01;Machine_01_Fault_01;ENGINE BREAK;59%;09-23-2016 00:48:31
Machine_01;Machine_01_Fault_02;JAM;85%;09-23-2016 01:07:16
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;60%;09-23-2016 01:08:03
Machine_02;Machine_02_Fault_03;ROTOR BREAK;29%;09-23-2016 01:09:35
Machine_02;Machine_02_Fault_04;HEAT PUMP;82%;09-23-2016 01:11:55
Machine_02;Machine_02_Fault_05;VACUUM;50%;09-23-2016 01:12:23
Machine_01;Machine_01_Fault_01;ENGINE BREAK;20%;09-23-2016 01:13:15
Machine_01;Machine_01_Fault_02;JAM;43%;09-23-2016 01:14:49
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;31%;09-23-2016 01:15:44
Machine_02;Machine_02_Fault_03;ROTOR BREAK;64%;09-23-2016 01:16:11
Machine_02;Machine_02_Fault_04;HEAT PUMP;22%;09-23-2016 01:16:44
Machine_02;Machine_02_Fault_05;VACUUM;0%;09-23-2016 01:19:51
Machine_01;Machine_01_Fault_01;ENGINE BREAK;40%;09-23-2016 01:03:57
Machine_01;Machine_01_Fault_02;JAM;58%;09-23-2016 01:02:55
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;25%;09-23-2016 00:58:49
Machine_02;Machine_02_Fault_03;ROTOR BREAK;87%;09-23-2016 01:03:57
Machine_02;Machine_02_Fault_04;HEAT PUMP;14%;09-23-2016 00:55:05
Machine_02;Machine_02_Fault_05;VACUUM;74%;09-23-2016 00:53:33
Machine_01;Machine_01_Fault_01;ENGINE BREAK;82%;09-23-2016 00:52:51
Machine_01;Machine_01_Fault_02;JAM;73%;09-23-2016 00:51:28
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;82%;09-23-2016 00:50:39
Machine_02;Machine_02_Fault_03;ROTOR BREAK;86%;09-23-2016 01:06:14
Machine_02;Machine_02_Fault_04;HEAT PUMP;39%;09-23-2016 01:06:48
Machine_02;Machine_02_Fault_05;VACUUM;70%;09-23-2016 01:20:08
Machine_01;Machine_01_Fault_01;ENGINE BREAK;19%;09-23-2016 01:23:19
Machine_01;Machine_01_Fault_02;JAM;70%;09-23-2016 01:22:06
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;42%;09-23-2016 01:23:06
Machine_02;Machine_02_Fault_03;ROTOR BREAK;79%;09-23-2016 01:21:01
Machine_02;Machine_02_Fault_04;HEAT PUMP;72%;09-23-2016 01:21:48
Machine_02;Machine_02_Fault_05;VACUUM;94%;09-23-2016 01:24:23
Machine_01;Machine_01_Fault_01;ENGINE BREAK;36%;09-23-2016 01:35:13
Machine_01;Machine_01_Fault_02;JAM;89%;09-23-2016 01:36:19
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;58%;09-23-2016 01:36:42
Machine_02;Machine_02_Fault_03;ROTOR BREAK;73%;09-23-2016 01:37:09
Machine_02;Machine_02_Fault_04;HEAT PUMP;85%;09-23-2016 01:37:55
Machine_02;Machine_02_Fault_05;VACUUM;24%;09-23-2016 01:38:18
Machine_01;Machine_01_Fault_01;ENGINE BREAK;23%;09-23-2016 01:39:42
Machine_01;Machine_01_Fault_02;JAM;35%;09-23-2016 01:41:02
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;13%;09-23-2016 01:42:02
Machine_02;Machine_02_Fault_03;ROTOR BREAK;47%;09-23-2016 01:42:41
Machine_02;Machine_02_Fault_04;HEAT PUMP;70%;09-23-2016 01:43:57
Machine_02;Machine_02_Fault_05;VACUUM;91%;09-23-2016 01:44:37
Machine_01;Machine_01_Fault_01;ENGINE BREAK;80%;09-23-2016 01:45:08
Machine_01;Machine_01_Fault_02;JAM;100%;09-23-2016 01:46:16
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;88%;09-23-2016 01:25:16
Machine_02;Machine_02_Fault_03;ROTOR BREAK;67%;09-23-2016 01:26:07
Machine_02;Machine_02_Fault_04;HEAT PUMP;90%;09-23-2016 01:27:52
Machine_02;Machine_02_Fault_05;VACUUM;85%;09-23-2016 01:28:47
Machine_01;Machine_01_Fault_01;ENGINE BREAK;20%;09-23-2016 01:29:37
Machine_01;Machine_01_Fault_02;JAM;16%;09-23-2016 01:30:58
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;72%;09-23-2016 01:31:57
Machine_02;Machine_02_Fault_03;ROTOR BREAK;44%;09-23-2016 01:32:21
Machine_02;Machine_02_Fault_04;HEAT PUMP;17%;09-23-2016 01:32:41
Machine_02;Machine_02_Fault_05;VACUUM;24%;09-23-2016 01:33:35
Machine_01;Machine_01_Fault_01;ENGINE BREAK;53%;09-23-2016 01:34:33
Machine_01;Machine_01_Fault_02;JAM;74%;09-23-2016 01:53:30
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;34%;09-23-2016 01:55:22
Machine_02;Machine_02_Fault_03;ROTOR BREAK;81%;09-23-2016 01:55:18
Machine_02;Machine_02_Fault_04;HEAT PUMP;95%;09-23-2016 01:58:41
Machine_02;Machine_02_Fault_05;VACUUM;6%;09-23-2016 01:57:54
Machine_01;Machine_01_Fault_01;ENGINE BREAK;21%;09-23-2016 02:04:13
Machine_01;Machine_01_Fault_02;JAM;78%;09-23-2016 02:03:10
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;26%;09-23-2016 02:02:41
Machine_02;Machine_02_Fault_03;ROTOR BREAK;93%;09-23-2016 02:02:19
Machine_02;Machine_02_Fault_04;HEAT PUMP;32%;09-23-2016 02:07:26
Machine_02;Machine_02_Fault_05;VACUUM;72%;09-23-2016 02:09:32
Machine_01;Machine_01_Fault_01;ENGINE BREAK;100%;09-23-2016 02:11:05
Machine_01;Machine_01_Fault_02;JAM;69%;09-23-2016 02:11:47
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;17%;09-23-2016 02:05:39
Machine_02;Machine_02_Fault_03;ROTOR BREAK;46%;09-23-2016 00:05:00
Machine_02;Machine_02_Fault_04;HEAT PUMP;16%;09-23-2016 00:05:29
Machine_02;Machine_02_Fault_05;VACUUM;21%;09-23-2016 00:05:08
Machine_01;Machine_01_Fault_01;ENGINE BREAK;15%;09-23-2016 00:06:03
Machine_01;Machine_01_Fault_02;JAM;93%;09-23-2016 00:06:36
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;59%;09-23-2016 00:07:00
Machine_02;Machine_02_Fault_03;ROTOR BREAK;9%;09-23-2016 00:08:29
Machine_02;Machine_02_Fault_04;HEAT PUMP;95%;09-23-2016 00:14:34
Machine_02;Machine_02_Fault_05;VACUUM;42%;09-23-2016 00:11:21
Machine_01;Machine_01_Fault_01;ENGINE BREAK;20%;09-23-2016 00:09:48
Machine_01;Machine_01_Fault_02;JAM;7%;09-23-2016 00:15:29
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;34%;09-23-2016 00:18:46
Machine_02;Machine_02_Fault_03;ROTOR BREAK;66%;09-23-2016 00:18:27
Machine_02;Machine_02_Fault_04;HEAT PUMP;38%;09-23-2016 00:49:35
Machine_02;Machine_02_Fault_05;VACUUM;87%;09-23-2016 00:25:17
Machine_01;Machine_01_Fault_01;ENGINE BREAK;97%;09-23-2016 00:25:37
Machine_01;Machine_01_Fault_02;JAM;43%;09-23-2016 00:26:31
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;40%;09-23-2016 00:27:55
Machine_02;Machine_02_Fault_03;ROTOR BREAK;77%;09-23-2016 00:28:21
Machine_02;Machine_02_Fault_04;HEAT PUMP;9%;09-23-2016 00:29:36
Machine_02;Machine_02_Fault_05;VACUUM;87%;09-23-2016 00:31:30
Machine_01;Machine_01_Fault_01;ENGINE BREAK;78%;09-23-2016 00:32:13
Machine_01;Machine_01_Fault_02;JAM;12%;09-23-2016 00:33:42
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;19%;09-23-2016 00:35:04
Machine_02;Machine_02_Fault_03;ROTOR BREAK;49%;09-23-2016 00:37:02
Machine_02;Machine_02_Fault_04;HEAT PUMP;23%;09-23-2016 00:41:49
Machine_02;Machine_02_Fault_05;VACUUM;71%;09-23-2016 00:40:29
Machine_01;Machine_01_Fault_01;ENGINE BREAK;72%;09-23-2016 00:44:46
Machine_01;Machine_01_Fault_02;JAM;35%;09-23-2016 00:46:10
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;87%;09-23-2016 00:49:14
Machine_02;Machine_02_Fault_03;ROTOR BREAK;82%;09-23-2016 00:48:59
Machine_02;Machine_02_Fault_04;HEAT PUMP;3%;09-23-2016 00:48:31
Machine_02;Machine_02_Fault_05;VACUUM;39%;09-23-2016 01:07:16
Machine_01;Machine_01_Fault_01;ENGINE BREAK;66%;09-23-2016 01:08:03
Machine_01;Machine_01_Fault_02;JAM;9%;09-23-2016 01:09:35
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;46%;09-23-2016 01:11:55
Machine_02;Machine_02_Fault_03;ROTOR BREAK;55%;09-23-2016 01:12:23
Machine_02;Machine_02_Fault_04;HEAT PUMP;47%;09-23-2016 01:13:15
Machine_02;Machine_02_Fault_05;VACUUM;20%;09-23-2016 01:14:49
Machine_01;Machine_01_Fault_01;ENGINE BREAK;3%;09-23-2016 01:15:44
Machine_01;Machine_01_Fault_02;JAM;14%;09-23-2016 01:16:11
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;73%;09-23-2016 01:16:44
Machine_02;Machine_02_Fault_03;ROTOR BREAK;50%;09-23-2016 01:19:51
Machine_02;Machine_02_Fault_04;HEAT PUMP;49%;09-23-2016 01:03:57
Machine_02;Machine_02_Fault_05;VACUUM;64%;09-23-2016 01:02:55
Machine_01;Machine_01_Fault_01;ENGINE BREAK;17%;09-23-2016 00:58:49
Machine_01;Machine_01_Fault_02;JAM;73%;09-23-2016 01:03:57
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;41%;09-23-2016 00:55:05
Machine_02;Machine_02_Fault_03;ROTOR BREAK;13%;09-23-2016 00:53:33
Machine_02;Machine_02_Fault_04;HEAT PUMP;50%;09-23-2016 00:52:51
Machine_02;Machine_02_Fault_05;VACUUM;97%;09-23-2016 00:51:28
Machine_01;Machine_01_Fault_01;ENGINE BREAK;56%;09-23-2016 00:50:39
Machine_01;Machine_01_Fault_02;JAM;37%;09-23-2016 01:06:14
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;77%;09-23-2016 01:06:48
Machine_02;Machine_02_Fault_03;ROTOR BREAK;29%;09-23-2016 01:20:08
Machine_02;Machine_02_Fault_04;HEAT PUMP;44%;09-23-2016 01:23:19
Machine_02;Machine_02_Fault_05;VACUUM;46%;09-23-2016 01:22:06
Machine_01;Machine_01_Fault_01;ENGINE BREAK;29%;09-23-2016 01:23:06
Machine_01;Machine_01_Fault_02;JAM;72%;09-23-2016 01:21:01
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;5%;09-23-2016 01:21:48
Machine_02;Machine_02_Fault_03;ROTOR BREAK;88%;09-23-2016 01:24:23
Machine_02;Machine_02_Fault_04;HEAT PUMP;33%;09-23-2016 01:35:13
Machine_02;Machine_02_Fault_05;VACUUM;24%;09-23-2016 01:36:19
Machine_01;Machine_01_Fault_01;ENGINE BREAK;39%;09-23-2016 01:36:42
Machine_01;Machine_01_Fault_02;JAM;3%;09-23-2016 01:37:09
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;34%;09-23-2016 01:37:55
Machine_02;Machine_02_Fault_03;ROTOR BREAK;16%;09-23-2016 01:38:18
Machine_02;Machine_02_Fault_04;HEAT PUMP;81%;09-23-2016 01:39:42
Machine_02;Machine_02_Fault_05;VACUUM;57%;09-23-2016 01:41:02
Machine_01;Machine_01_Fault_01;ENGINE BREAK;18%;09-23-2016 01:42:02
Machine_01;Machine_01_Fault_02;JAM;50%;09-23-2016 01:42:41
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;65%;09-23-2016 01:43:57
Machine_02;Machine_02_Fault_03;ROTOR BREAK;18%;09-23-2016 01:44:37
Machine_02;Machine_02_Fault_04;HEAT PUMP;83%;09-23-2016 01:45:08
Machine_02;Machine_02_Fault_05;VACUUM;93%;09-23-2016 01:46:16
Machine_01;Machine_01_Fault_01;ENGINE BREAK;39%;09-23-2016 01:25:16
Machine_01;Machine_01_Fault_02;JAM;65%;09-23-2016 01:26:07
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;70%;09-23-2016 01:27:52
Machine_02;Machine_02_Fault_03;ROTOR BREAK;83%;09-23-2016 01:28:47
Machine_02;Machine_02_Fault_04;HEAT PUMP;2%;09-23-2016 01:29:37
Machine_02;Machine_02_Fault_05;VACUUM;74%;09-23-2016 01:30:58
Machine_01;Machine_01_Fault_01;ENGINE BREAK;15%;09-23-2016 01:31:57
Machine_01;Machine_01_Fault_02;JAM;17%;09-23-2016 01:32:21
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;84%;09-23-2016 01:32:41
Machine_02;Machine_02_Fault_03;ROTOR BREAK;66%;09-23-2016 01:33:35
Machine_02;Machine_02_Fault_04;HEAT PUMP;29%;09-23-2016 01:34:33
Machine_02;Machine_02_Fault_05;VACUUM;88%;09-23-2016 01:53:30
Machine_01;Machine_01_Fault_01;ENGINE BREAK;46%;09-23-2016 01:55:22
Machine_01;Machine_01_Fault_02;JAM;23%;09-23-2016 01:55:18
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;59%;09-23-2016 01:58:41
Machine_02;Machine_02_Fault_03;ROTOR BREAK;51%;09-23-2016 01:57:54
Machine_02;Machine_02_Fault_04;HEAT PUMP;83%;09-23-2016 02:04:13
Machine_02;Machine_02_Fault_05;VACUUM;7%;09-23-2016 02:03:10
Machine_01;Machine_01_Fault_01;ENGINE BREAK;49%;09-23-2016 02:02:41
Machine_01;Machine_01_Fault_02;JAM;99%;09-23-2016 02:02:19
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;66%;09-23-2016 02:07:26
Machine_02;Machine_02_Fault_03;ROTOR BREAK;39%;09-23-2016 02:09:32
Machine_02;Machine_02_Fault_04;HEAT PUMP;67%;09-23-2016 02:11:05
Machine_02;Machine_02_Fault_05;VACUUM;41%;09-23-2016 02:11:47
Machine_01;Machine_01_Fault_01;ENGINE BREAK;9%;09-23-2016 02:05:39
Machine_01;Machine_01_Fault_02;JAM;58%;09-23-2016 00:05:00
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;45%;09-23-2016 00:05:29
Machine_02;Machine_02_Fault_03;ROTOR BREAK;41%;09-23-2016 00:05:08
Machine_02;Machine_02_Fault_04;HEAT PUMP;57%;09-23-2016 00:06:03
Machine_02;Machine_02_Fault_05;VACUUM;81%;09-23-2016 00:06:36
Machine_01;Machine_01_Fault_01;ENGINE BREAK;83%;09-23-2016 00:07:00
Machine_01;Machine_01_Fault_02;JAM;39%;09-23-2016 00:08:29
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;60%;09-23-2016 00:14:34
Machine_02;Machine_02_Fault_03;ROTOR BREAK;79%;09-23-2016 00:11:21
Machine_02;Machine_02_Fault_04;HEAT PUMP;67%;09-23-2016 00:09:48
Machine_02;Machine_02_Fault_05;VACUUM;29%;09-23-2016 00:15:29
Machine_01;Machine_01_Fault_01;ENGINE BREAK;48%;09-23-2016 00:18:46
Machine_01;Machine_01_Fault_02;JAM;32%;09-23-2016 00:18:27
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;30%;09-23-2016 00:49:35
Machine_02;Machine_02_Fault_03;ROTOR BREAK;2%;09-23-2016 00:25:17
Machine_02;Machine_02_Fault_04;HEAT PUMP;37%;09-23-2016 00:25:37
Machine_02;Machine_02_Fault_05;VACUUM;92%;09-23-2016 00:26:31
Machine_01;Machine_01_Fault_01;ENGINE BREAK;4%;09-23-2016 00:27:55
Machine_01;Machine_01_Fault_02;JAM;63%;09-23-2016 00:28:21
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;28%;09-23-2016 00:29:36
Machine_02;Machine_02_Fault_03;ROTOR BREAK;93%;09-23-2016 00:31:30
Machine_02;Machine_02_Fault_04;HEAT PUMP;21%;09-23-2016 00:32:13
Machine_02;Machine_02_Fault_05;VACUUM;76%;09-23-2016 00:33:42
